date,source,document_type,title,description,keywords,ref_no,url,filesize,source_id
2010-07-16,Central Bank of Nigeria,circulars,"CBN Scope,Conditions and Minimum Standards for Merchant Banks Regulations",,"CBN Scope,Conditions and Minimum Standards for Merchant Banks Regulations",BSD/DIR/MBG/2010/01,https://www.cbn.gov.ng/out/2010/circulars/bsd/merchant  banking licensing regulations  16 july2010a.pdf,36846,604
2010-07-16,Central Bank of Nigeria,circulars,Review of Guidelines for Specialised Institutions,,Review of Guidelines for Specialised Institutions,BSD/DIR/SBG/2010/03,https://www.cbn.gov.ng/out/2010/circulars/bsd/review of guidelines for specialised institutions.pdf,28636,605
2010-07-19,Central Bank of Nigeria,circulars,"FOREIGN EXCHANGE MARKET (WDAS) AUCTION NO. 54/2010





",,"Central Bank of Nigeria, Abuja, USD250 million dollars, Foreign Exchange, Financial Markets Department,Director, Auction, CBN, FCT, Auction No 54/2010",FMD/FED/CIR/GEN/01/038/10,https://www.cbn.gov.ng/out/2010/circulars/fmd/wdas 5420100001.pdf,333541,602
2010-07-21,Central Bank of Nigeria,circulars,FOREIGN EXCHANGE MARKET (WDAS) AUCTION NO. 55/2010,,"FMD/FED/CIR/GEN/01/039/10, FOREIGN EXCHANGE MARKET (WDAS) AUCTION NO. 55/2010, BIDS, AUCTION, DOLLAR, CIRCULAR, WDAS",FMD/FED/CIR/GEN/01/039/10,https://www.cbn.gov.ng/out/2010/circulars/fmd/wdas 5520100001.pdf,332991,601
2010-07-26,Central Bank of Nigeria,circulars,FOREIGN EXCHANGE MARKET (WDAS) AUCTION NO. 56/2010,,"FMD/FED/CIR/GEN/01/040/10,FOREIGN EXCHANGE MARKET (WDAS) AUCTION NO. 56/2010, BIDS, 26TH JULY, 2010, CIRCULAR, DOLLARS",FMD/FED/CIR/GEN/01/040/10,https://www.cbn.gov.ng/out/2010/circulars/fmd/wdas 5620100001.pdf,354687,600
2010-07-28,Central Bank of Nigeria,circulars,FOREIGN EXCHANGE MARKET (WDAS) AUCTION NO. 57/2010,,"FMD/FED/CIR/GEN/01/04/10, FOREIGN EXCHANGE MARKET (WDAS) AUCTION NO. 57/2010, 28TH JULY, 2010, BIDS, DOLLARS, SALE, AUCTION",FMD/FED/CIR/GEN/01/041/10,https://www.cbn.gov.ng/out/2010/circulars/fmd/wdas 5720100001.pdf,333172,598
2010-07-28,Central Bank of Nigeria,circulars,Sensitization Seminar for exporters & Other Stakeholders,,"All Designated banks for NESS are to attend the seminar at six venues across the country.Batari Musa, Director, Trade and Exchange Department.",TED.PFI..FPC.GEN.01.031,https://www.cbn.gov.ng/out/2010/circulars/ted/ted.pfo.fpc.gen.01.031.pdf,764823,599
2010-08-02,Central Bank of Nigeria,circulars,Establishment of a Procedure for Handling Separated Bank Employees' Clearance and Issuance of References,,"Central Bank of Nigeria,Banks,Discount Houses,Other Financial Institutions,Clearance,Clearance Certificate,Complaints,Parties,Processes,Circular,Financial Institutions,Separated Bank Employees",FPR/DIR/CIR/CFP/VOL.1/003,https://www.cbn.gov.ng/out/2010/circulars/fpr/circular on establishment of procedure for handling clearances.pdf,15941,597
2010-08-02,Central Bank of Nigeria,circulars,FOREIGN EXCHANGE MARKET (WDAS) AUCTION NO. 58/2010,,"FMD/FED/CIR/GEN/01/042/10, FOREIGN EXCHANGE MARKET (WDAS) AUCTION NO. 58/2010, FINANCIAL MARKETS, BIDS, AUCTION, FX",FMD/FED/CIR/GEN/01/042/10,https://www.cbn.gov.ng/out/2010/circulars/fmd/auction notice no 58 20100001.pdf,316978,596
2010-08-04,Central Bank of Nigeria,circulars,FOREIGN EXCHANGE MARKET (WDAS) AUCTION NO. 59/2010,,"Central Bank of Nigeria, Abuja, USD150 million dollars, Foreign Exchange, Financial Markets Department,Director, Auction, CBN, FCT, Auction No 59/2010",FMD/FED/CIR/GEN/01/043/10,https://www.cbn.gov.ng/out/2010/circulars/fmd/auction notice no592010 of 02082010.pdf,343310,595
2010-08-09,Central Bank of Nigeria,circulars,FOREIGN EXCHANGE MARKET (WDAS) AUCTION NO. 60/2010,,"BID, REQUEST,FOREIGN EXCHANGE MARKET (WDAS) AUCTION NO. 60/2010, FMD/FED/IR/GEN/01/044/10, AUCTION, FX",FMD/FED/CIR/GEN/01/044/10,https://www.cbn.gov.ng/out/2010/circulars/fmd/wdas 6020100001.pdf,334079,594
2010-08-11,Central Bank of Nigeria,circulars,FOREIGN EXCHANGE MARKET (WDAS) AUCTION NO. 61/2010,,"FMD/FED/IR/GEN/01/044/10, FOREIGN EXCHANGE MARKET (WDAS) AUCTION NO. 61/2010, FX, BIDS, AUCTION, 11TH AUGUST, 2010, 11/08/10 ",FMD/FED/CIR/GEN/01/045/10,https://www.cbn.gov.ng/out/2010/circulars/fmd/wdas 6120100001.pdf,337029,593
