date,source,document_type,title,url
2024-05-13,Debt Management Office Nigeria,fgn_bond_auction_result,"Summary of FGN Bond Auction Results for May, 2024",https://www.dmo.gov.ng/fgn-bonds/bonds-auction-results/4668-summary-of-fgn-bond-auction-results-for-may-2024/file
2024-06-24,Debt Management Office Nigeria,fgn_bond_auction_result,"Summary of FGN Bond Auction Results for June, 2024",https://www.dmo.gov.ng/fgn-bonds/bonds-auction-results/4738-summary-of-fgn-bond-auction-results-for-june-2024/file
2024-07-22,Debt Management Office Nigeria,fgn_bond_auction_result,"Summary of FGN Bond Auction Results for July, 2024",https://www.dmo.gov.ng/fgn-bonds/bonds-auction-results/4790-summary-of-fgn-bond-auction-results-for-july-2024/file
2024-08-19,Debt Management Office Nigeria,fgn_bond_auction_result,"Summary of FGN Bond Auction Results for August, 2024",https://www.dmo.gov.ng/fgn-bonds/bonds-auction-results/4827-summary-of-fgn-bond-auction-results-for-august-2024/file
2024-09-23,Debt Management Office Nigeria,fgn_bond_auction_result,"Summary of FGN Bond Auction Results for September, 2024",https://www.dmo.gov.ng/fgn-bonds/bonds-auction-results/4887-summary-of-fgn-bond-auction-results-for-september-2024/file
2024-10-21,Debt Management Office Nigeria,fgn_bond_auction_result,"Summary of FGN Bond Auction Results for October, 2024",https://www.dmo.gov.ng/fgn-bonds/bonds-auction-results/4930-summary-of-fgn-bond-auction-results-for-october-2024/file
2024-11-18,Debt Management Office Nigeria,fgn_bond_auction_result,"Summary of FGN Bond Auction Results for November, 2024",https://www.dmo.gov.ng/fgn-bonds/bonds-auction-results/4986-summary-of-fgn-bond-auction-results-for-november-2024/file
2024-12-16,Debt Management Office Nigeria,fgn_bond_auction_result,"Summary of FGN Bond Auction Results for December, 2024",https://www.dmo.gov.ng/fgn-bonds/bonds-auction-results/5021-summary-of-fgn-bond-auction-results-for-december-2024/file
2025-01-27,Debt Management Office Nigeria,fgn_bond_auction_result,"Summary of FGN Bond Auction Results for January, 2025",https://www.dmo.gov.ng/fgn-bonds/bonds-auction-results/5091-summary-of-fgn-bond-auction-results-for-january-2025/file
2025-02-24,Debt Management Office Nigeria,fgn_bond_auction_result,"Summary of FGN Bond Auction Results for February, 2025",https://www.dmo.gov.ng/fgn-bonds/bonds-auction-results/5140-summary-of-fgn-bond-auction-results-for-february-2025/file
2025-03-25,Debt Management Office Nigeria,fgn_bond_auction_result,Summary of FGN Bond Auction Results for March 2025,https://www.dmo.gov.ng/fgn-bonds/bonds-auction-results/5189-summary-of-fgn-bond-auction-results-for-march-2025/file
2025-04-28,Debt Management Office Nigeria,fgn_bond_auction_result,"Summary of FGN Bond Auction Results for April, 2025",https://www.dmo.gov.ng/fgn-bonds/bonds-auction-results/5250-summary-of-fgn-bond-auction-results-for-april-2025/file
2025-05-26,Debt Management Office Nigeria,fgn_bond_auction_result,"Summary of FGN Bond Auction Results for May, 2025",https://www.dmo.gov.ng/fgn-bonds/bonds-auction-results/5306-summary-of-fgn-bond-auction-results-for-may-2025/file
2025-06-23,Debt Management Office Nigeria,fgn_bond_auction_result,"Summary of FGN Bond Auction Results for June, 2025",https://www.dmo.gov.ng/fgn-bonds/bonds-auction-results/5351-summary-of-fgn-bond-auction-results-for-june-2025/file
2025-07-29,Debt Management Office Nigeria,fgn_bond_auction_result,"Summary of FGN Bond Auction Results for July, 2025",https://www.dmo.gov.ng/fgn-bonds/bonds-auction-results/5414-summary-of-fgn-bond-auction-results-for-july-2025/file
2025-08-26,Debt Management Office Nigeria,fgn_bond_auction_result,"Summary of FGN Bond Auction Results for August, 2025",https://www.dmo.gov.ng/fgn-bonds/bonds-auction-results/5458-summary-of-fgn-bond-auction-results-for-august-2025/file
2025-09-29,Debt Management Office Nigeria,fgn_bond_auction_result,"Summary of FGN Bond Auction Results for September, 2025",https://www.dmo.gov.ng/fgn-bonds/bonds-auction-results/5512-summary-of-fgn-bond-auction-results-for-september-2025/file
2025-10-27,Debt Management Office Nigeria,fgn_bond_auction_result,"Summary of FGN Bond Auction Results for October, 2025",https://www.dmo.gov.ng/fgn-bonds/bonds-auction-results/5569-summary-of-auction-results-for-october-2025/file
2025-11-25,Debt Management Office Nigeria,fgn_bond_auction_result,"Summary of FGN Bond Auction Results for November, 2025",https://www.dmo.gov.ng/fgn-bonds/bonds-auction-results/5612-summary-of-fgn-bond-auction-results-for-november-2025/file
2025-12-15,Debt Management Office Nigeria,fgn_bond_auction_result,"Summary of FGN Bond Auction Results for December, 2025",https://www.dmo.gov.ng/fgn-bonds/bonds-auction-results/5639-summary-of-fgn-bond-auction-results-for-december-2025/file
2026-01-26,Debt Management Office Nigeria,fgn_bond_auction_result,"Summary of FGN Bond Auction Results for January, 2026",https://www.dmo.gov.ng/fgn-bonds/bonds-auction-results/5687-summary-of-fgn-bond-auction-results-for-january-2026/file
2026-02-24,Debt Management Office Nigeria,fgn_bond_auction_result,"Summary of FGN Bond Auction Results for February, 2026",https://www.dmo.gov.ng/fgn-bonds/bonds-auction-results/5742-summary-of-fgn-bond-auction-results-for-february-2026/file
2026-03-30,Debt Management Office Nigeria,fgn_bond_auction_result,Summary of FGN Bond Auction Results for March 2026,https://www.dmo.gov.ng/fgn-bonds/bonds-auction-results/5791-summary-of-fgn-bond-auction-results-for-march-2026/file
2026-04-27,Debt Management Office Nigeria,fgn_bond_auction_result,"Summary of FGN Bond Auction Results for April, 2026",https://www.dmo.gov.ng/fgn-bonds/bonds-auction-results/5840-summary-of-fgn-bond-auction-results-for-april-2026/file
2026-05-18,Debt Management Office Nigeria,fgn_bond_auction_result,"Summary of FGN Bond Auction Results for May, 2026",https://www.dmo.gov.ng/fgn-bonds/bonds-auction-results/5874-summary-of-fgn-bond-auction-results-for-may-2026/file
2026-06-22,Debt Management Office Nigeria,fgn_bond_auction_result,"Summary of FGN Bond Auction Results for June, 2026",https://www.dmo.gov.ng/fgn-bonds/bonds-auction-results/5921-summary-of-fgn-bond-auction-results-for-june-2026/file
2026-07-20,Debt Management Office Nigeria,fgn_bond_auction_result,"Summary of FGN Bond Auction Results for July, 2026",https://www.dmo.gov.ng/fgn-bonds/bonds-auction-results/5961-summary-of-fgn-bond-auction-results-for-july-2026/file
2026-08-17,Debt Management Office Nigeria,fgn_bond_auction_result,"Summary of FGN Bond Auction Results for August, 2026",https://www.dmo.gov.ng/fgn-bonds/bonds-auction-results/6019-summary-of-fgn-bond-auction-results-for-august-2026/file
