date,source,document_type,title,description,keywords,ref_no,url,filesize,source_id
2009-02-19,Central Bank of Nigeria,press_releases,"Press Statement on The Decision of the Court of Appeal in the Case of Savannah Bank of Nigeria Plc Vs Central Bank of Nigeria, Nigeria Deposit Insurance Corporation and the Inspector General of Police","On 5th February, 2009, the Court of Appeal delivered judgement in the appeal filed by Savannah Bank of Nigeria Plc (SBN).  It would be recalled that SBN had, on February 18, 2002, instituted an action before the Federal High Court, Abuja against the Central Bank of Nigeria (CBN), Nigeria Deposit Insurance Corporation (NDIC) and the Inspector General of Police (IGP) to challenge the revocation of its banking licence by the CBN on February 15, 2002.<br>
<a href=""http://www.cenbank.org/out/publications/pressRelease/GOV/2009/Savannah Bank.pdf"">Click here for details</a><br>
<br>
<b><u><a href=""http://www.cenbank.org/out/publications/pressRelease/HRD/2009/FITC ADVERT FEBRUARY 5th.pdf"">CBN Recruitment Advert</a></u></b><br>
The CBN Recruitment Test, earlier scheduled for Saturday, January 24th 2009 will soon hold. All short-listed candidates are advised to check www.fitc-ng.com or www.cenbank.org to view the comprehensive short-list of candidates invited for the screening tests.<br>
<a href=""http://www.cenbank.org/out/publications/pressRelease/HRD/2009/FITC ADVERT FEBRUARY 5th.pdf"">Click here for details</a><br>
<br>
<a href=""http://www.cenbank.org/out/publications/pressRelease/HRD/2009/recruitment.htm"">Click here for the comprehensive list</a>",,,http://www.cenbank.org/out/publications/pressRelease/GOV/2009/Savannah Bank.pdf,,169
2009-02-25,Central Bank of Nigeria,press_releases,"Press Briefing on the Reforms in the Operations of the Bureaux De Change in Nigeria by the Governor of the Central Bank of Nigeria, Prof. Chukwuma C. Soludo","The Financial Sector Surveillance Committee (FSSC) met on the 23rd and 24th February, 2009, and among other things, reviewed the developments in the foreign exchange market especially the Bureaux de Change (BDC) segment of the market.<br>
<a href=""http://www.cenbank.org/out/publications/pressRelease/GOV/2009/Press Briefing --- Corrected Version.pdf"">Click here for details</a><br>
<br>
<b><u><a href=""http://www.cenbank.org/out/publications/pressRelease/HRD/2009/testschedule.pdf"">CBN Recruitment Advert</a></u></b><br>
Notice is hereby given to all Shortlisted Candidates of Central Bank recruitment test that the screening test will hold on Saturday, March 14th, 2009 at various designated centers.  All applicants have been distributed to Test States/Centers based on their respective States of residence..<br>
<a href=""http://www.cenbank.org/out/publications/pressRelease/HRD/2009/testschedule.pdf"">Click here for details</a><br>
<br>
<a href=""http://www.cenbank.org/out/publications/pressRelease/HRD/2009/recruitment.htm"">Click here for the comprehensive list of shortlisted candidates</a>",,,http://www.cenbank.org/out/publications/pressRelease/GOV/2009/Press Briefing --- Corrected Version.pdf,,167
2009-03-23,Central Bank of Nigeria,press_releases,Press Briefing on the Developments in the Banking Sector,"2008 International Federation of Women Lawyers (FIDA)Week Owerri, Imo State",,,https://www.cbn.gov.ng/out/speeches/2009/govadd23-3-09.pdf ,12055,6387
2009-03-23,Central Bank of Nigeria,press_releases,"Press Briefing on the Developments in the Banking Sector by the Governor of the Central Bank of Nigeria, Prof. Chukwuma C. Soludo","The Bankers Committee held an emergency meeting on Saturday,<br>
21st March, 2009, and reviewed developments in both the international and the domestic economy with special focus on the banking sector.
<br>
<a href=""http://www.cenbank.org/Out/publications/pressRelease/GOV/2009/Govadd23-3-09.pdf"">Click here for details</a><br>
<br>
<b>FOREX Help Desk</b><br>
<IMG alt=""FOREX Help Desk"" hspace=0 src=""http://www.cenbank.org/images/helpdesk.gif"" align=right width=80 border=0>The Central Bank of Nigeria has set up a foreign exchange Help Desk/Complaints Desk to help collate and resolve foreign exchange related problems the general public may encounter. <br>
<a href=""http://www.cenbank.org/contacts/forexhelpdesk.asp"">Click here for details</a><br>
<br>
<b>Invitation For Prequalification</b><br>
The Central Bank of Nigeria is desirous to undertake a pre-qualification exercise for  capital projects under the 2009 budget.<br>
Consequently, the Bank wishes to invite reputable contractors to indicate interest to prequalify for the under-listed projects<br>
<a href=""http://www.cenbank.org/Out/publications/guidelines/PSSD/2009/ProjectA.pdf"">Project List A</a>    <a href=""http://www.cenbank.org/Out/publications/guidelines/PSSD/2009/ProjectB.pdf"">Project List B</a><br>
<br>
<b>Expression of Interest For Provision Of Consultancy Services For Physical Projects </b><br>
<a href=""http://www.cenbank.org/Out/publications/guidelines/PSSD/2009/EOIA.pdf"">EOI List A</a>     <a href=""http://www.cenbank.org/Out/publications/guidelines/PSSD/2009/EOIB.pdf"">EOI List B</a>",,,http://www.cenbank.org/Out/publications/pressRelease/GOV/2009/Govadd23-3-09.pdf,,162
2009-08-16,Central Bank of Nigeria,press_releases,"Press Release - 19th August, 2009","The Central bank of Nigeria has noted claims by some individuals on the published list of debtors/defaulters that the figures posted against them are not correct and threatened to go to court. The bank has also noted some typographical errors regarding the titles of some government officials and some companies and wish to comment as follows:<br>
<a href=""/Out/publications/pressRelease/GOV/2009/Press Release 190809.pdf"">Click here for more details.</a><br>
<br>
<strong><a href=""/Out/publications/pressRelease/GOV/2009/ADVERTORIAL_18082009.pdf"">CBN Advertorial On Bank Debtors - 18th August, 2009</a></strong><br>
Following the recent regulatory action of the Central Bank of Nigeria on the five (5) banks, it has become necessary to use this medium to request the following defaulting customers of the affected banks to pay without further delay their indebtedness, failing which the banks will take all appropriate legal actions to ensure repayment.<br>
<a href=""/Out/publications/pressRelease/GOV/2009/ADVERTORIAL_18082009.pdf"">Click here for more details.</a><br>
<br>
<a href=""/out/publications/pressRelease/GOV/2009/PUBLIC_STATEMENT_18082009.pdf""><b>Public Statement-18th August, 2009</a></b><br>
Following the recent regulatory action taken by the Central Bank of Nigeria in respect of Afribank, Finbank, Intercontinental, Oceanic and Union banks, it has become necessary to make the following clarifications: <br>
<a href=""/out/publications/pressRelease/GOV/2009/PUBLIC_STATEMENT_18082009.pdf"">Click here for details</a><br>
<a href=""/Out/speeches/2009/Govadd-14-8-09.pdf""><br>
<b>Address by the Governor of the Central Bank of Nigeria, on Developments in the banking System in Nigeria</a></b><br>
The Governor of the Central Bank of Nigeria addressed the press on recent developments in the banking sector after an emergency meeting of the Board of the Bank in Lagos, on Friday, 14th August, 2009.<br>
<a href=""/Out/speeches/2009/Govadd-14-8-09.pdf"">Click here for more details.</a><br>
<br>
<a href=""/Out/EduSeries/Disclosure Requirements.pdf""><b>CBN&#146;s Disclosure Requirements For Banks: The Facts</a></b><br>
Of the four-point agenda stressed by the Governor, Central Bank of Nigeria, Mallam Sanusi Lamido Sanusi, on assumption of office, the need to strengthen regulation and supervision through enhanced disclosures by financial institutions, stands out clearly... <br>
<a href=""/Out/EduSeries/Disclosure Requirements.pdf"">Click here for details</a><br>",,,https://www.cbn.gov.ng/Out/publications/pressRelease/GOV/2009/Press Release 190809.pdf,,146
2009-08-18,Central Bank of Nigeria,press_releases,CBN Advertorial On Bank Debtors-18/08/2009,,"debtors,advertorial",CAD/Press-Release/18-8-2009,https://www.cbn.gov.ng/<a /out/publications/pressRelease/GOV/2009/ADVERTORIAL_18082009.pdf,92,2275
2009-08-18,Central Bank of Nigeria,press_releases,Public Statement - 18/08/2009,,"public,statement",CAD/Press-Release,https://www.cbn.gov.ng/out/publications/pressRelease/GOV/2009/PUBLIC_STATEMENT_18082009.pdf,2400,2274
2009-08-19,Central Bank of Nigeria,press_releases,Press Release-19/08/2009,,"press, release",CAD/Press-Release190809,https://www.cbn.gov.ng/out/publications/pressRelease/GOV/2009/Press%20Release%20190809.pdf,2400,2273
2009-09-03,Central Bank of Nigeria,press_releases,Press Release,,"press,release,central bank of Nigeria",CAD/Press-Release030909,https://www.cbn.gov.ng/out/publications/pressRelease/GOV/2009/PRESS RELEASE030909.pdf,30,2267
2009-10-02,Central Bank of Nigeria,press_releases,Press Statement on 14 banks,,"press, release",CAD/Press-Release021009,https://www.cbn.gov.ng/Out/publications/pressRelease/GOV/2009/pressstatmt 02-10-2009.pdf,24000,2263
2009-10-05,Central Bank of Nigeria,press_releases,Press Release-RE: CBN Summons Banks To a Meeting,,"press, release",CAD/Press-Release021009,"https://www.cbn.gov.ng/<a href=""/Out/publications/pressRelease/GOV/2009/Press Release on Meeting with banks051009.pdf",24000,2262
2009-10-14,Central Bank of Nigeria,press_releases,Press Release 14th Oct. 2009,,"press, release",CAD/Press-Release141009,"https://www.cbn.gov.ng/<a href=""/Out/publications/pressRelease/GOV/2009/ALL_BANKS14102009.pdf",24000,2261
2009-11-04,Central Bank of Nigeria,press_releases,"Press Statement On Update on Banking Reforms 13th November, 2009","In furtherance of the banking reforms exercise aimed at ensuring the stability and soundness of Nigeria's banking industry, the Central Bank of Nigeria, (CBN), has appointed advisers that will work with the ten deposit money banks - Afribank Plc, Finbank Plc, Intercontinental Bank Plc, Oceanic International Bank Plc, Union Bank of Nigeria Plc, Bank PHB Plc Equatorial Trust Bank Limited and Spring Bank Plc - whose management were recently replaced, as well as Wema Bank Plc and Unity Bank Plc. <br>
<a href=""/Out/2009/publications/pressRelease/GOV/UPDATE ON BANKING REFORMSvfinal.pdf"">Click here for more</a>.<br>
<br>
<STRONG><a href=""/Out/publications/pressRelease/GOV/2009/Press_Statement_on_MPC_Outcome.pdf"">Press Statement On Deregulation 4th November, 2009</STRONG></a><br>
The Central Bank of Nigeria (CBN) has noted reports in some sections of the press alleging in screaming headlines that the CBN is against the Federal Government's policy of deregulation of the downstream sector of the petroleum industry. These press reports arose from the Monetary Policy Committee, MPC briefing by the CBN Governor on Tuesday, 3 November 2009.<a href=""/Out/publications/pressRelease/GOV/2009/Press_Statement_on_MPC_Outcome.pdf"">Click here for details</a> <br>
<br>
<STRONG><a href=""/Out/publications/pressRelease/GOV/2009/PRESS_RELEASE041109.pdf"">Press Statement On Equatorial Trust Bank Limited 4th November, 2009</STRONG></a><br>
Following the Special Examination of all banks operating in the country, and the subsequent actions by the CBN, the shareholders of Equitorial Trust Bank Limited requested the permission of the Central Bank of Nigeria to be allowed to rectify lapses identified in the bank.  In pursuance to that, the shareholders executed a Deed of Covenant, the specific terms and conditions of which included the following:<a href=""/Out/publications/pressRelease/GOV/2009/PRESS_RELEASE041109.pdf"">Click here for details</a><br>
<br>
<STRONG><a href=""/Out/publications/communique/MPD/2009/MPC_Communique_for_the_meeting_of_November_0311 2009.pdf"">Central Bank of Nigeria Communiqu&#233; No. 66 of the Monetary Policy Committee Meeting, November 03, 2009</STRONG></a><br>
The Monetary Policy Committee (MPC) at its meeting today reviewed the domestic and external economic and financial developments for the year so far. The international economic scene, in the Committee's view, has turned out to be better than was projected about six months ago <a href=""/Out/publications/communique/MPD/2009/MPC_Communique_for_the_meeting_of_November_0311 2009.pdf"">Click here for details</a>",,,https://www.cbn.gov.ng/Out/2009/publications/pressRelease/GOV/UPDATE ON BANKING REFORMSvfinal.pdf,,143
2009-12-11,Central Bank of Nigeria,press_releases,Press Release On Third Quarter (Q3) Results Released By Deposit Money Banks - 11th Dec. 2009,,"press, release",CAD/Press-Release11122009,https://www.cbn.gov.ng/out/2009/publications/pressRelease/GOV/CBN_Press_Release_11122009.pdf,24000,2238
2009-12-11,Central Bank of Nigeria,press_releases,Press Release On Third Quarter (Q3) Results Released By Deposit Money Banks - 11th Dec. 2009,"In line with the Central Bank of Nigeria's new disclosure standards which are central to the Bank's ongoing banking sector reforms, all deposit money banks (DMBs) in Nigeria have  announced financial results for the third quarter 2009 in line with  clearly defined and transparent reporting requirements.<br>
<a href=""/Out/2009/publications/pressRelease/GOV/CBN_Press_Release_11122009.pdf"">Click here for more</a>.",,,https://www.cbn.gov.ng/Out/2009/publications/pressRelease/GOV/CBN_Press_Release_11122009.pdf,,142
2009-12-31,Central Bank of Nigeria,press_releases,Federal High Court Grants Mareva Injunction On Akingbola's Assets Worldwide - 31st Dec. 2009,,"press, release",CAD/Press-Release31122009,https://www.cbn.gov.ng/out/2009/publications/pressRelease/GOV/Akingbola.pdf,24000,2236
2010-01-11,Central Bank of Nigeria,press_releases,Central Bank of Nigeria Appoints Executive Directors For Three Banks,,"press, release",CAD/Press-Release1112010,https://www.cbn.gov.ng/out/2010/publications/pressRelease/GOV/PRESS STATEMENT APPOINTMENT OF EDs.pdf,2616,2233
2010-01-13,Central Bank of Nigeria,press_releases,Disclaimer On CBN Involvement In ATM Upgrade,,"press, release",CAD/Press-Release1312010,https://www.cbn.gov.ng/out/2010/publications/pressRelease/GOV/Central Bank of Nigeria Disclaimer.pdf,2616,2232
2010-03-03,Central Bank of Nigeria,press_releases,Press Release On MPC Boosts Real Sector: Stresses Need To Unlock The Credit Market - 2nd March 2010,,"press, release",CAD/Press-Release02012010,https://www.cbn.gov.ng/out/2010/publications/pressRelease/GOV/MPC_Boosts_ ReaL_Sector_02032010.pdf,24000,2225
2010-03-31,Central Bank of Nigeria,press_releases,Press Release On CBN Boosts Safety And Rescue Operations In  Abuja And Its Environs,"The Central Bank of Nigeria (CBN) has given a major boost to safety and rescue operations in the Federal Capital Territory (FCT), through the acquisition of three motorized fire fighting vehicles and rescue equipment.",,,https://www.cbn.gov.ng/out/2010/pressrelease/gov/Press Release on Fire Equipment.pdf,,133
2010-04-16,Central Bank of Nigeria,press_releases,Press Release: CBN establishes Small and Medium Enterprises (SME) Credit Guarantee Scheme (SMECGS),"In a bid to unlock the tight credit market in Nigeria, enhance credit to the real sector, and complement its 500 billion Naira Power/Manufacturing facility; the Management of the Central Bank of Nigeria (CBN) has approved the establishment of a N200 billion Small and Medium Enterprises Credit Guarantee Scheme (SMECGS), to promoting access to credit by manufacturers and SMEs in Nigeria.",,,https://www.cbn.gov.ng/Out/2010/publications/pressRelease/GOV/PRESS RELEASE 16042010.pdf,,131
2010-06-01,Central Bank of Nigeria,press_releases,Press Release On CBN Extends N500BN Power And Real Sector Fund To Aviation Industry,The N500 billion facility for investment in power projects and the real sector has been extended to the Aviation Industry.  This means that the Airlines can now partake from the fund and those that are indebted to banks can refinance their loans and amortise them over a period of 10-15 years.,,,https://www.cbn.gov.ng/Out/2010/pressrelease/gov/PRESS RELEASE ON EXTENSION OF N500B TO AVIATION.pdf,,120
2010-06-28,Central Bank of Nigeria,press_releases,Press Release On June Deadline For Recapitalisation Of Unity And Wema Banks,"Our attention has been drawn to Newspaper reports expressing concern on the deadline of June 30, 2010 given to Unity Bank Plc and Wema Bank Plc to recapitalize.",,,https://www.cbn.gov.ng/Out/2010/pressrelease/gov/JUNE DEADLINE FOR RECAPITALISATION OF UNITY AND WEMA BANKS.pdf,,116
2010-06-30,Central Bank of Nigeria,press_releases,Press Release On Stemming The Scourge Of Illegal Fund Managers/Wonder Banks,"As part of the efforts to stem the menace of “Wonder Banks,” the Inter-Agency Committee On illegal Fund Managers recently met and deliberated on issues relating to the activities of illegal fund managers and wonder banks with a view to addressing the scourge.",,,https://www.cbn.gov.ng/Out/2010/pressrelease/gov/PRESS RELEASE INTER-AGENCY COMMITTEE 2.pdf,,114
2010-07-09,Central Bank of Nigeria,press_releases,Press Release On AMCON Bill Sent For Presidential Assent,"The National Assembly has today July 9, 2010 forwarded the harmonized bill establishing the Asset Management Corporation of Nigeria (AMCON) to the Presidency for the assent of President Goodluck Ebele Jonathan.",,,https://www.cbn.gov.ng/Out/2010/pressrelease/gov/AMCON READY FOR PRESIDENTIAL ASSENT.pdf,,111
2010-07-15,Central Bank of Nigeria,press_releases,Press Release On Banks' Recapitalisation - Shareholders To Take The Final Decision,"The Central Bank of Nigeria (CBN) on Thursday, July 15, 2010 held a stakeholders meeting with the Board of Directors, Management and Shareholders of the CBN intervened  banks. The meeting, which was chaired by the CBN Governor, Mallam Sanusi Lamido Sanusi was the second in the series of dialogue initiated by the Bank with the stakeholders to engender effective collaboration on the issue of recapitalising the affected banks.",,,https://www.cbn.gov.ng/Out/2010/pressrelease/gov/Banks Recapitalisation Shareholders to decide.pdf,,108
2010-07-15,Central Bank of Nigeria,press_releases,Press Release On Governor Oshiomhole Extols Sanusi's Courage,"The Executive Governor of Edo State, Mr. Adams Oshiomhole on Tuesday, July 13, 2010 paid a courtesy visit to the Governor, Central Bank of Nigeria, Mallam Sanusi Lamido Sanusi where he extolled the uncommon courage in the implementation of the reforms in the banking sector.",,,https://www.cbn.gov.ng/Out/2010/pressrelease/gov/GOVERNOR OSHIOMOLE EXTOLS SANUSI COURAG2.pdf,,107
2010-07-19,Central Bank of Nigeria,press_releases,Press Release On President Signs AMCON Bill,"President Goodluck Jonathan today, Monday, July 19, 2010 at exactly 3.28 pm signed the Asset Management Corporation of Nigeria, (AMCON) Bill into law. The Act provides the legal backing for the establishment of the long-awaited corporation.  ",,,https://www.cbn.gov.ng/Out/2010/pressrelease/gov/PRESIDENT GOODLUCK JONATHAN SIGNS AMCON BILL.pdf,,106
2010-08-03,Central Bank of Nigeria,press_releases,Press Release - Economic Reforms Engender National Security - Sanusi,"The Governor, Central Bank of Nigeria, Mallam Sanusi Lamido Sanusi, CON, has called for comprehensive reforms in all the sectors of Nigerian economy with a view to enhancing the wellbeing of the citizenry, eradicating poverty and ensuring national security.",,,https://www.cbn.gov.ng/Out/2010/pressrelease/gov/Press Release - Economic Reforms Engender National Security.pdf,,105
